ROWNUM,Name,AdmArea,District,ParkName,WiFiName,CoverageArea,FunctionFlag,AccessFlag,Password,Longitude_WGS84,Latitude_WGS84,global_id,
48,"Точка доступа №18","Юго-Восточный ","Люблино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.742407","55.687498","20660199",
49,"Точка доступа №19","Юго-Восточный ","Люблино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.741709","55.687147","20660200",
50,"Точка доступа №16","Северо-Восточный ","Лосиноостровский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.684594","55.868632","20660197",
51,"Точка доступа №23","Юго-Восточный ","Люблино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.741398","55.688755","20660204",
52,"Точка доступа №24","Юго-Восточный ","Люблино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.742181","55.68801","20660205",
53,"Точка доступа №26","Юго-Восточный ","Люблино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.746199","55.686773","20660207",
54,"Точка доступа №28","Юго-Восточный ","Люблино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.747851","55.687578","20660209",
55,"Точка доступа №22","Юго-Восточный ","Люблино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.740744","55.688113","20660203",
56,"Точка доступа №30","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.452758","55.863316","20660211",
57,"Точка доступа №27","Юго-Восточный ","Люблино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.746907","55.687282","20660208",
58,"Точка доступа №25","Юго-Восточный ","Люблино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.740379","55.688791","20660206",
59,"Точка доступа №29","Юго-Восточный ","Люблино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Люблино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.742418","55.687422","20660210",
60,"Точка доступа №31","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.44984","55.863847","20660212",
61,"Точка доступа №32","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.449325","55.863039","20660213",
62,"Точка доступа №37","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.45086","55.861361","20660218",
63,"Точка доступа №36","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.45189","55.86188","20660217",
64,"Точка доступа №34","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.450651","55.862677","20660215",
65,"Точка доступа №33","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.450479","55.863039","20660214",
66,"Точка доступа №35","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.449149","55.862447","20660216",
67,"Точка доступа №38","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.450319","55.861011","20660219",
68,"Точка доступа №39","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.449397","55.860523","20660220",
69,"Точка доступа №40","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.450207","55.860704","20660221",
70,"Точка доступа №41","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.451045","55.860945","20660222",
71,"Точка доступа №46","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.450984","55.859931","20660227",
72,"Точка доступа №42","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.451628","55.861017","20660223",
73,"Точка доступа №48","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.452184","55.860076","20660229",
74,"Точка доступа №45","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.452572","55.860486","20660226",
75,"Точка доступа №49","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.454351","55.859992","20660230",
76,"Точка доступа №44","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.453259","55.860704","20660225",
77,"Точка доступа №51","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.451175","55.859171","20660232",
78,"Точка доступа №43","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.45283","55.861392","20660224",
79,"Точка доступа №50","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.454737","55.859654","20660231",
80,"Точка доступа №47","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.449674","55.859581","20660228",
81,"Точка доступа №57","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.451109","55.857047","20660238",
82,"Точка доступа №53","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.451376","55.858411","20660234",
83,"Точка доступа №54","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.453276","55.858809","20660235",
84,"Точка доступа №56","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.453961","55.857252","20660237",
85,"Точка доступа №60","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.45418","55.856202","20660241",
86,"Точка доступа №61","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.454995","55.856298","20660242",
87,"Точка доступа №59","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.453","55.856226","20660240",
88,"Точка доступа №52","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.450943","55.857687","20660233",
89,"Точка доступа №58","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.451236","55.855659","20660239",
90,"Точка доступа №55","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.455442","55.856661","20660236",
91,"Точка доступа №66","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.452556","55.852581","20660247",
92,"Точка доступа №63","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.453579","55.85526","20660244",
93,"Точка доступа №69","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.455111","55.852882","20660250",
94,"Точка доступа №62","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.45566","55.855598","20660243",
95,"Точка доступа №70","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.455905","55.852243","20660251",
96,"Точка доступа №67","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.452941","55.852665","20660248",
97,"Точка доступа №65","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.452763","55.853944","20660246",
98,"Точка доступа №68","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.45406","55.852774","20660249",
99,"Точка доступа №71","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.455476","55.851844","20660252",
100,"Точка доступа №64","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.45345","55.854476","20660245",
101,"Точка доступа №78","Центральный ","Таганский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.666424","55.737660","20660259",
102,"Точка доступа №73","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.45288","55.851844","20660254",
103,"Точка доступа №79","Центральный ","Таганский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.666693","55.737175","20660260",
104,"Точка доступа №76","Центральный ","Таганский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.666948","55.738433","20660257",
105,"Точка доступа №77","Центральный ","Таганский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.666274","55.737962","20660258",
106,"Точка доступа №72","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.454253","55.851555","20660253",
107,"Точка доступа №74","Северо-Западный ","Северное Тушино","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Северное Тушино»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.451733","55.860149","20660255",
108,"Точка доступа №80","Центральный ","Таганский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.667625","55.737129","20660261",
109,"Точка доступа №81","Центральный ","Таганский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.668766","55.737266","20660262",
110,"Точка доступа №75","Центральный ","Таганский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.667656","55.738653","20660256",
111,"Точка доступа №85","Центральный ","Таганский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.668610","55.738595","20660266",
112,"Точка доступа №82","Центральный ","Таганский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.667480","55.737565","20660263",
113,"Точка доступа №88","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.492043","55.74808","20660269",
114,"Точка доступа №84","Центральный ","Таганский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.667495","55.738489","20660265",
115,"Точка доступа №83","Центральный ","Таганский","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Таганский»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.667327","55.737877","20660264",
116,"Точка доступа №87","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.491635","55.750706","20660268",
117,"Точка доступа №89","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.490455","55.7471","20660270",
118,"Точка доступа №91","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.484061","55.750948","20660272",
119,"Точка доступа №90","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.489833","55.750815","20660271",
120,"Точка доступа №94","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.478761","55.750597","20660275",
121,"Точка доступа №98","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.470349","55.74342","20660279",
122,"Точка доступа №96","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.47434","55.74791","20660277",
123,"Точка доступа №99","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.463268","55.741871","20660280",
124,"Точка доступа №92","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.484061","55.750948","20660273",
125,"Точка доступа №100","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.460543","55.74106","20660281",
126,"Точка доступа №97","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.470156","55.744957","20660278",
127,"Точка доступа №95","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.475606","55.749314","20660276",
128,"Точка доступа №93","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.484082","55.751093","20660274",
129,"Точка доступа №101","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.45829","55.738094","20660282",
130,"Точка доступа №107","Западный ","Филёвский Парк","Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха Фили»","Moscow_WiFi_Free","20","действует","открытая сеть","","37.462279","55.738086","20660288",
